"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-045513359750304","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/8/20","7:27 PM","20.97","0","0.00","1.63","0","22.60","-5.24","0","-0.99","0","0"
"O-345513522376580","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/25/20","7:50 PM","15.99","0","2.99","1.47","3.06","23.51","-4.75","0","-1.02","0","0"
"O-769413523843251","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/25/20","7:06 PM","22.98","0","6.99","2.32","4.84","37.13","-7.49","0","-1.43","0","0"
"O-440213558800619","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/28/20","7:29 PM","25.99","0","1.99","2.16","6.03","36.17","-7.00","0","-1.40","0","0"
"O-383613376254811","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/10/20","6:53 PM","42.96","0","8.99","3.56","8.33","63.84","-12.99","0","-2.06","0","-6.00"
"O-722013406743551","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/13/20","5:16 PM","17.49","0","0.00","1.36","0","18.85","-4.37","0","-0.87","0","0"
"O-515613384726556","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/11/20","7:22 PM","33.97","0","4.99","3.02","5.43","47.41","-9.74","0","-1.75","0","0"
"O-594213439078113","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/17/20","2:33 PM","78.84","0","6.99","6.65","13.87","106.35","-21.46","0","-3.54","0","0"
"O-757413558777419","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/28/20","5:49 PM","16.98","0","0.00","1.32","0","18.30","-4.25","0","-0.86","0","0"
"O-180713527246726","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/25/20","5:43 PM","10.99","0","0.00","0.85","0","11.84","-2.75","0","-0.66","0","0"
"O-230713353899531","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/8/20","9:28 PM","17.99","0","8.99","1.63","2.86","31.47","-6.75","0","-1.08","0","-6.00"
"O-226413408227442","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/13/20","8:53 PM","15.48","0","4.99","1.12","3.16","24.75","-5.12","0","-0.87","0","-6.00"
"O-466613332093726","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/6/20","5:01 PM","20.99","0","0.00","1.63","0","22.62","-5.25","0","-0.99","0","0"
"O-506613462136561","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/19/20","8:07 PM","26.47","0","2.99","2.28","4.76","36.50","-7.37","0","-1.41","0","0"
"O-144213409593633","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/13/20","8:36 PM","69.92","0","8.99","6.12","8.50","93.53","-19.73","0","-3.15","0","0"
"O-296013280708693","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/1/20","8:32 PM","40.49","0","2.99","2.90","8.00","54.38","-10.87","0","-1.78","0","-6.00"
"O-635713424576713","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/15/20","7:26 PM","32.97","0","4.99","2.48","8.09","48.53","-9.49","0","-1.60","0","-6.00"
"O-417213280551012","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/1/20","7:37 PM","28.13","0","6.99","2.72","7.57","45.41","-8.78","0","-1.69","0","0"
"O-848513412490408","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/14/20","6:56 PM","47.48","0","8.99","4.38","9.12","69.97","-14.12","0","-2.43","0","0"
"O-067613370054945","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/10/20","9:03 PM","33.47","0","8.99","3.29","6.86","52.61","-10.62","0","-1.90","0","0"
"O-560613414909826","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/14/20","6:35 PM","18.24","0","1.99","1.10","4.27","25.60","-5.06","0","-0.90","0","-6.00"
"O-835813579105231","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/30/20","6:36 PM","18.99","0","1.99","1.62","4.52","27.12","-5.25","0","-1.13","0","0"
"T-AwAAD06iNpW0QC3FEeussflDw1f0oA","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","643113484771452,EJ","11/23/20","11:51 AM","0","0","0.00","0.00","0","49.46","0","0","0","0","0"
"O-621913564892030","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/30/20","2:52 PM","9.99","0","0.00","0.77","0","10.76","-2.50","0","-0.63","0","0"
"O-598613438164363","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/16/20","4:24 PM","9.99","0","0.00","0.77","0","10.76","-2.50","0","-0.63","0","0"
"O-296013340792038","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/8/20","1:10 PM","21.97","0","1.99","1.39","3.80","29.15","-5.99","0","-1.01","0","-6.00"
"O-722013416720515","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/15/20","1:33 PM","24.98","0","0.00","1.47","0","26.45","-6.25","0","-0.92","0","-6.00"
"O-195313495981550","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/22/20","5:58 PM","39.97","0","6.99","3.64","7.59","58.19","-11.74","0","-2.07","0","0"
