Type,Date,Order Number,Store,Location,Delivery Platform,Subtotal,Commission,Discounts,Adjustments,Marketplace Facilitator Tax,Total Tax Charged to Customer,Tax Passed through to Operator,Tip,Restaurant Fulfilled Delivery Fee,Other,You earned,Notes
Delivery,2022-03-07,#39d411a5,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$16.98,-$6.79,$0.00,$0.00,$0.00,$1.32,$1.32,,$0.00,,$11.51,
Delivery,2022-03-07,#04365926,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.99,-$5.20,$0.00,$0.00,$0.00,$1.01,$1.01,,$0.00,,$8.80,
Delivery,2022-03-07,#b999cc7a,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.99,-$5.20,$0.00,$0.00,$0.00,$1.01,$1.01,,$0.00,,$8.80,
Delivery,2022-03-07,#8eee2b92,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.45,-$6.18,$0.00,$0.00,$0.00,$1.20,$1.20,,$0.00,,$10.47,
Delivery,2022-03-08,#cf444a9d,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$25.94,-$10.37,$0.00,$0.00,$0.00,$2.01,$2.01,,$0.00,,$17.58,
Delivery,2022-03-08,#56639,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$19.99,-$8.00,$0.00,$0.00,-$1.55,$1.55,$0.00,,$0.00,,$11.99,
Delivery,2022-03-08,#D5FDB,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$59.94,-$18.98,-$5.00,$0.00,-$4.26,$4.26,$0.00,,$0.00,,$35.96,
Delivery,2022-03-08,#f899e6a5,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$25.48,-$10.19,$0.00,$0.00,$0.00,$1.97,$1.97,,$0.00,,$17.26,
Delivery,2022-03-08,#79dfdcde,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.49,-$6.20,$0.00,$0.00,$0.00,$1.20,$1.20,,$0.00,,$10.49,
Delivery,2022-03-08,#11F9B,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$26.49,-$10.59,$0.00,$0.00,-$2.05,$2.05,$0.00,,$0.00,,$15.90,
Delivery,2022-03-08,#efc6dfbf,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$14.95,-$5.98,$0.00,$0.00,$0.00,$1.16,$1.16,,$0.00,,$10.13,
Delivery,2022-03-08,#DC095,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$37.88,-$15.15,$0.00,$0.00,-$2.94,$2.94,$0.00,,$0.00,,$22.73,
Delivery,2022-03-08,#AF6C4,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$51.95,-$20.78,$0.00,$0.00,-$4.03,$4.03,$0.00,,$0.00,,$31.17,
Delivery,2022-03-08,#2c53df40,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$16.49,-$6.60,$0.00,$0.00,$0.00,$1.28,$1.28,,$0.00,,$11.17,
Delivery,2022-03-08,#5AE1C,The Hot Italian,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$21.48,-$5.59,-$3.00,$0.00,-$1.43,$1.43,$0.00,,$0.00,,$12.89,
Delivery,2022-03-08,#46a60744,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$103.00,-$32.90,-$8.00,$0.00,$0.00,$7.36,$7.36,,$0.00,,$69.46,
Delivery,2022-03-08,#5a48ace4,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$37.97,-$8.49,-$6.69,$0.00,$0.00,$2.50,$2.50,,$0.00,,$25.29,
Delivery,2022-03-08,#29EA9,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$28.90,-$11.56,$0.00,$0.00,-$2.24,$2.24,$0.00,,$0.00,,$17.34,
Delivery,2022-03-08,#31A86,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$35.98,-$11.39,-$3.00,$0.00,-$2.56,$2.56,$0.00,,$0.00,,$21.59,
Delivery,2022-03-08,#349718203046774,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$33.50,-$8.26,-$5.00,$0.00,$0.00,$2.21,$2.21,,$0.00,,$22.45,
Delivery,2022-03-08,#f2ae8a69,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$28.99,-$11.60,$0.00,$0.00,$0.00,$2.25,$2.25,,$0.00,,$19.64,
Delivery,2022-03-08,#4FF2C,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$23.98,-$9.59,$0.00,$0.00,-$1.86,$1.86,$0.00,,$0.00,,$14.39,
Delivery,2022-03-08,#6315E,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$15.95,-$3.38,-$3.00,$0.00,-$1.00,$1.00,$0.00,,$0.00,,$9.57,
Delivery,2022-03-08,#2fa92af6,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$27.15,-$5.57,-$5.00,$0.00,$0.00,$1.72,$1.72,,$0.00,,$18.31,
Delivery,2022-03-08,#F99CC,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$31.90,-$12.76,$0.00,$0.00,-$2.47,$2.47,$0.00,,$0.00,,$19.14,
Delivery,2022-03-08,#E41D2,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$15.49,-$6.20,$0.00,$0.00,-$1.20,$1.20,$0.00,,$0.00,,$9.29,
Delivery,2022-03-08,#D3C1C,The Hot Italian,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$18.98,-$7.59,$0.00,$0.00,-$1.47,$1.47,$0.00,,$0.00,,$11.39,
Delivery,2022-03-08,#d23efa29,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$29.90,-$6.66,-$5.00,$0.00,$0.00,$1.93,$1.93,,$0.00,,$20.17,
Delivery,2022-03-08,#52b08a32,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$35.49,-$8.58,-$5.32,$0.00,$0.00,$2.34,$2.34,,$0.00,,$23.94,
Delivery,2022-03-09,#b37d5a8d,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$13.99,-$5.60,$0.00,$0.00,$0.00,$1.08,$1.08,,$0.00,,$9.47,
Delivery,2022-03-09,#EC4A1,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$15.49,-$3.20,-$3.00,$0.00,-$0.97,$0.97,$0.00,,$0.00,,$9.29,
Delivery,2022-03-09,#45B2C,The Hot Italian,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$34.47,-$13.79,$0.00,$0.00,-$2.67,$2.67,$0.00,,$0.00,,$20.68,
Delivery,2022-03-09,#2b82a03f,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$9.99,-$4.00,$0.00,$0.00,$0.00,$0.77,$0.77,,$0.00,,$6.76,
