Order Channel,ID,Fulfillment Type,Restaurant,Type,Description,Date,Time,Subtotal,Delivery Fee,Service Fee,Service Fee Exemption,(flexible fees),Tax Fee,Tax Fee Exemption,Tip,Restaurant Total,Commission,GH+ Commission,Delivery Commission,Processing Fee,Withheld Tax,Withheld Tax Exemption,Targeted Promotion,Rewards
MARKETPLACE,O-950628543989446,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,01/05/25,"6:19 PM PST, UTC-08:00",56.95,4.99,0,0,n/a,4.8,0,9.66,76.4,-9.29,n/a,0,-2.63,0,0,0,n/a
MARKETPLACE,O-691029018957180,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,02/22/25,"12:30 PM PST, UTC-08:00",38.46,2.99,0,0,n/a,2.59,0,6.37,50.41,-6.22,n/a,0,-1.59,0,0,-8,n/a
MARKETPLACE,O-478729132303008,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,03/05/25,"7:36 PM PST, UTC-08:00",34.97,1.99,0,0,n/a,2.86,0,5.94,45.76,-5.54,n/a,0,-1.7,0,0,0,n/a
MARKETPLACE,O-604128575069822,Pick-Up,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,01/08/25,"5:56 PM PST, UTC-08:00",23.97,0,0,0,n/a,1.86,0,1.29,27.12,-3.6,n/a,0,-1.13,0,0,0,n/a
MARKETPLACE,O-336129312919346,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,03/23/25,"6:06 PM PDT, UTC-07:00",29.98,2.99,0,0,n/a,2.55,0,5.36,40.88,-4.95,n/a,0,-1.55,0,0,0,n/a
MARKETPLACE,O-227429438740750,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,04/04/25,"9:46 PM PDT, UTC-07:00",53.96,2.99,0,0,n/a,4.41,0,9.16,70.52,-8.54,n/a,0,-2.45,0,0,0,n/a
MARKETPLACE,O-258830276539586,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,06/27/25,"6:57 PM PDT, UTC-07:00",38.22,8.99,0,0,n/a,3.66,0,5.5,56.37,-7.08,n/a,0,-2.02,0,0,0,n/a
MARKETPLACE,O-777829368260919,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,03/28/25,"6:45 PM PDT, UTC-07:00",16.99,4.99,0,0,n/a,1.71,0,2.88,26.57,-3.3,n/a,0,-1.11,0,0,0,n/a
MARKETPLACE,O-908729858381950,Pick-Up,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,05/17/25,"11:13 AM PDT, UTC-07:00",44.96,0,0,0,n/a,3.48,0,0,48.44,-6.74,n/a,0,-1.78,0,0,0,n/a
MARKETPLACE,O-807029588590803,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,04/19/25,"6:38 PM PDT, UTC-07:00",21.99,4.99,0,0,n/a,2.09,0,5,34.07,-4.05,n/a,0,-1.34,0,0,0,n/a
MARKETPLACE,O-526029108595030,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,03/03/25,"12:03 PM PST, UTC-08:00",48.71,1.99,0,0,n/a,3.93,0,8.98,63.61,-7.61,n/a,0,-2.24,0,0,0,n/a
MARKETPLACE,O-675430137063727,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,06/13/25,"7:32 PM PDT, UTC-07:00",29.97,4.99,0,0,n/a,2.09,0,5,42.05,-5.24,n/a,0,-1.34,0,0,-8,n/a
MARKETPLACE,O-281228771039501,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,01/29/25,"12:27 PM PST, UTC-08:00",16.48,6.99,0,0,n/a,1.82,0,3.73,29.02,-3.52,n/a,0,-1.19,0,0,0,n/a
MARKETPLACE,O-516929226043961,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,03/14/25,"10:06 PM PDT, UTC-07:00",30.74,1.99,0,0,n/a,2.53,0,5.22,40.48,-4.91,n/a,0,-1.53,0,0,0,n/a
MARKETPLACE,O-863630143967096,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,06/14/25,"6:55 PM PDT, UTC-07:00",40.1,2.99,0,0,n/a,2.72,0,6.65,52.46,-6.46,n/a,0,-1.66,0,0,-8,n/a
MARKETPLACE,O-122429979928262,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,05/29/25,"4:57 PM PDT, UTC-07:00",40.46,6.99,0,0,n/a,3.68,0,6,57.13,-7.12,n/a,0,-2.04,0,0,0,n/a
