"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-850117487051832","The Wing Shop - Alton Pkwy","Prepaid Order",,"12/27/21","12:02 PM","47.71","0.00","0","3.70","0","51.41","-9.54","-4.77","-1.87","0","0"
"O-503417317214548","The Wing Shop - Alton Pkwy","Prepaid Order",,"12/9/21","9:46 PM","90.42","0.00","0","7.01","0","97.43","-18.08","-9.04","-3.27","0","0"
"O-303117303291530","The Wing Shop - Alton Pkwy","Prepaid Order",,"12/8/21","8:31 PM","41.96","0.00","0","3.25","0","45.21","-8.39","-4.20","-1.68","0","0"
"O-299117429937801","The Wing Shop - Alton Pkwy","Prepaid Order",,"12/21/21","1:04 PM","61.47","0.00","0","4.76","0","66.23","-12.29","-6.15","-2.32","0","0"
"O-041617406824794","The Wing Shop - Alton Pkwy","Prepaid Order",,"12/19/21","2:43 PM","54.47","0.00","0","4.22","0","58.69","-10.89","-5.45","-2.09","0","0"
"O-188317292155863","The Wing Shop - Alton Pkwy","Prepaid Order",,"12/7/21","9:20 PM","45.48","0.00","0","3.52","0","49.00","-9.10","-4.55","-1.79","0","0"
"O-429117469263728","The Wing Shop - Alton Pkwy","Prepaid Order",,"12/24/21","6:43 PM","56.43","0.00","0","4.37","0","60.80","-11.29","-5.64","-2.15","0","0"
"O-863617277349139","The Wing Shop - Alton Pkwy","Prepaid Order",,"12/6/21","3:45 PM","17.99","0.00","0","1.39","0","19.38","-3.60","-1.80","-0.89","0","0"
"O-116017431956231","The Wing Shop - Alton Pkwy","Prepaid Order",,"12/21/21","8:21 PM","14.99","0.00","0","1.16","0","16.15","-3.00","-1.50","-0.79","0","0"
"T-AwEAAAAAAB9bWvPxLiBbVRHstQYTtPzpPhI","Trattoria Contadina - Alton Pkwy","Account Adjustment"," 50341731-7234210 VR
","12/12/21","6:15 AM","0","0.00","0","0.00","0","8.99","0","0","0","0","0"
"O-913217345259471","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/12/21","6:21 PM","32.96","0.00","0","2.55","0","35.51","-6.59","-3.30","-1.38","0","0"
"O-456117337810306","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/11/21","9:23 PM","44.96","0.00","0","3.48","0","48.44","-8.99","-4.50","-1.78","0","0"
"O-326817393720403","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/18/21","12:53 PM","10.98","0.00","0","0.85","0","11.83","-2.20","-1.10","-0.66","0","0"
"O-041617406817659","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/18/21","9:02 PM","23.73","0.00","0","1.84","0","25.57","-4.75","-2.37","-1.08","0","0"
"O-493817354641107","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/13/21","5:02 PM","41.69","0.00","0","3.23","0","44.92","-8.34","-4.17","-1.67","0","0"
"O-601217258070337","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/3/21","6:45 PM","8.99","0.00","0","0.70","0","9.69","-1.80","-0.90","-0.60","0","0"
"O-493817354610612","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/14/21","11:30 AM","45.70","0.00","0","3.54","0","49.24","-9.14","-4.57","-1.80","0","0"
"O-447717314304421","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/9/21","9:12 PM","45.93","0.00","0","3.56","0","49.49","-9.19","-4.59","-1.81","0","0"
"O-188117302602029","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/8/21","7:07 PM","18.95","0.00","0","1.47","0","20.42","-3.79","-1.90","-0.92","0","0"
"O-193417458550450","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/23/21","7:21 PM","55.94","0.00","0","4.34","0","60.28","-11.19","-5.59","-2.14","0","0"
"O-411417481771531","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/26/21","5:04 PM","30.53","0.00","0","2.37","0","32.90","-6.11","-3.05","-1.30","0","0"
"O-456117337810306","Trattoria Contadina - Alton Pkwy","Adjustment of O-456117337810306","INCORRECT_ITEM - Refund requested by diner via help interaction","12/11/21","9:36 PM","-16.98","0.00","0","-1.31","0","-18.29","0","0","0","0","0"
"O-394717339727147","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/11/21","8:31 PM","17.96","0.00","0","1.39","0","19.35","-3.59","-1.80","-0.89","0","0"
"O-581917356745203","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/13/21","6:53 PM","18.98","0.00","0","1.47","0","20.45","-3.80","-1.90","-0.92","0","0"
"O-503417317234210","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/9/21","5:09 PM","29.97","0.00","0","2.32","0","32.29","-5.99","-3.00","-1.28","0","0"
"O-469517264850713","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/4/21","9:00 PM","51.45","0.00","0","3.99","0","55.44","-10.29","-5.15","-1.99","0","0"
"O-456117337812908","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/11/21","8:26 PM","21.73","0.00","0","1.68","0","23.41","-4.35","-2.17","-1.01","0","0"
"O-347817520281644","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/30/21","7:43 PM","34.47","0.00","0","2.67","0","37.14","-6.89","-3.45","-1.43","0","0"
"O-680817408480503","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/18/21","8:19 PM","13.99","0.00","0","1.08","0","15.07","-2.80","-1.40","-0.76","0","0"
"O-992017295361562","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/7/21","7:26 PM","13.99","0.00","0","1.08","0","15.07","-2.80","-1.40","-0.76","0","0"
"O-258617305061433","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/8/21","6:25 PM","32.97","0.00","0","2.56","0","35.53","-6.59","-3.30","-1.38","0","0"
"T-AwEAAAAAAB9bWhKpOuBioRHsmZZXbWW4VjI","Trattoria Contadina - Alton Pkwy","Account Adjustment","32681742-3738380-HN","12/21/21","1:00 PM","0","0.00","0","0.00","0","26.29","0","0","0","0","0"
"O-863617237365711","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/1/21","6:46 PM","11.99","0.00","0","0.93","0","12.92","-2.40","-1.20","-0.69","0","0"
"O-503417317234210","Trattoria Contadina - Alton Pkwy","Adjustment of O-503417317234210","MISSING_ITEM - Refund requested by diner via help interaction","12/9/21","5:16 PM","-8.99","0.00","0","-0.69","0","-9.68","0","0","0","0","0"
"O-232017362736444","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/14/21","6:01 PM","40.96","0.00","0","3.17","0","44.13","-8.19","-4.10","-1.65","0","0"
"O-243817276089885","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/5/21","7:26 PM","18.98","0.00","0","1.47","0","20.45","-3.80","-1.90","-0.92","0","0"
"T-AwEAAAAAAB9bWmq4YyBeexHsgEFR-VAbyVk","Trattoria Contadina - Alton Pkwy","Account Adjustment","45611733-7810306 VR
","12/16/21","6:21 AM","0","0.00","0","0.00","0","16.98","0","0","0","0","0"
"O-465617404319563","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/19/21","1:30 PM","63.83","0.00","0","4.95","0","68.78","-12.77","-6.38","-2.40","0","0"
