transaction id,transaction date,account name,transaction description,transaction line description,amount (one column),,debit amount (two column approach),credit amount (two column approach),other accounts for this transaction,customer,vendor,invoice number,bill number,notes / memo,amount before sales tax,sales tax amount,sales tax name,transaction date added,transaction date last modified,account group,account type,account id,source_accounting_file,wave_account
1887536867771950512,2023-12-05,Slice Sales,SLICE DES:SLICE15639 ID:ST-O8G6Y9K5Y5C2 INDN:ACE AN AROMA INC CO ID:XXXXX48598 CCD,,5634.61,,,5634.61,Business Advantage Chk (602),,,,,,5634.61,,,2023-12-07,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1899036668661343601,2023-12-22,Sales,Anum Sheikh - 159,Anum Sheikh - 159 - Birthday Cheesecake Slice,0.0,,,0.0,"Accounts Receivable, CA Sales Tax, Sales Discounts",Anum Sheikh,,159.0,,"Payment Terms: Cash, Check or Zelle Only.",0.0,,,2023-12-23,2023-12-23,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1899036668661343601,2023-12-22,Sales Discounts,Anum Sheikh - 159,Anum Sheikh - 159 - Birthday Cheesecake Slice,-0.0,,0.0,,"Accounts Receivable, CA Sales Tax, Sales",Anum Sheikh,,159.0,,"Payment Terms: Cash, Check or Zelle Only.",-0.0,,,2023-12-23,2023-12-23,Income,Discount,,Takeout/wave_aroma/accounting.csv,aroma
1908047610795533920,2024-01-03,Slice Sales,SLICE DES:SLICE15639 ID:ST-N4B3B2H3A8M6 INDN:ACE AN AROMA INC CO ID:XXXXX48598 CCD,,5368.62,,,5368.62,Business Advantage Chk (602),,,,,,5368.62,,,2024-01-04,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1932396591742723834,2024-02-05,Slice Sales,SLICE DES:SLICE15639 ID:ST-I6P4Y3Z0K2C8 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,3658.4,,,3658.4,Business Advantage Chk (602),,,,,,3658.4,,,2024-02-07,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1938049129976440347,2024-02-18,Sales,Anushe Ashraff - 180,Anushe Ashraff - 180 - Birthday Cheesecake Slice,0.0,,,0.0,"Accounts Receivable, CA Sales Tax, Sales Discounts",Anushe Ashraff,,180.0,,"Payment Terms: Cash
Pavillion Park Address: 194 Compass, Irvine, CA 92618. 1pm Delivery. Sunday 2/18.",0.0,0.0,CA Sales Tax,2024-02-14,2024-02-15,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1938049129976440347,2024-02-18,Sales Discounts,Anushe Ashraff - 180,Anushe Ashraff - 180 - Birthday Cheesecake Slice,-0.0,,0.0,,"Accounts Receivable, CA Sales Tax, Sales",Anushe Ashraff,,180.0,,"Payment Terms: Cash
Pavillion Park Address: 194 Compass, Irvine, CA 92618. 1pm Delivery. Sunday 2/18.",-0.0,,,2024-02-14,2024-02-15,Income,Discount,,Takeout/wave_aroma/accounting.csv,aroma
1953109187466634571,2024-03-05,Slice Sales,SLICE DES:SLICE15639 ID:ST-V7X2S3H2T0F2 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,4979.12,,,4979.12,Business Advantage Chk (602),,,,,,4979.12,,,2024-03-06,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1974584197263665073,2024-04-03,Slice Sales,SLICE DES:SLICE15639 ID:ST-S1O9X4T1M7O2 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,4305.45,,,4305.45,Business Advantage Chk (602),,,,,,4305.45,,,2024-04-05,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1997887203149096387,2024-05-06,Slice Sales,SLICE DES:SLICE15639 ID:ST-K3O5E8Q3H1M2 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,3535.11,,,3535.11,Business Advantage Chk (602),,,,,,3535.11,,,2024-05-07,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
