Transaction Type,Date,Order Number,Store,Location,Delivery Platform,Subtotal,Commission,Adjustments,Taxes,Tip,Other,You earned,Notes
Delivery,1/13/21,#F252E,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$37.98,-$9.80,$0.00,$0.00,,,$28.18,
Delivery,1/13/21,#683514017812464,Just Wing It.,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$54.94,-$21.76,$0.00,$3.72,,,$36.90,
Delivery,1/13/21,#783114011456075,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$51.98,-$20.49,$0.00,$3.25,,,$34.74,
Delivery,1/13/21,#cfed4b75,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$19.98,-$7.98,$0.00,$1.55,,,$13.55,
Delivery,1/13/21,#0dce22ae,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$28.97,-$11.59,$0.00,$2.25,,,$19.63,
Delivery,1/13/21,#C27DD,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$30.97,-$10.84,$0.00,$2.40,,,$22.53,
Delivery,1/13/21,#1a6e377b,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$25.90,-$10.36,$0.00,$2.01,,,$17.55,
Delivery,1/13/21,#032f688a,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$19.98,-$7.99,$0.00,$1.55,,,$13.54,
Delivery,1/13/21,#071B8,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$17.98,-$7.19,$0.00,$1.39,,,$12.18,
Delivery,1/13/21,#3F755,Just Wing It.,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$19.98,-$5.00,$0.00,$0.00,,,$14.98,
