"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-929813447984796","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/17/20","6:37 PM","21.98","0","2.99","1.93","5.38","32.28","-3.12","-1.28","0"
"O-594513486907106","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/21/20","5:55 PM","34.22","0","4.99","3.04","10.56","52.81","-4.90","-1.91","0"
"O-511713418758860","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/14/20","6:27 PM","22.78","0","4.99","2.16","4.49","34.42","-3.47","-1.35","0"
"W-144113315811028","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/4/20","5:30 PM","32.96","0","0.00","2.55","5.33","40.84","0","-1.55","0"
"O-591313326533913","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/5/20","9:04 PM","23.97","0","2.99","2.09","5.81","34.86","-3.37","-1.36","0"
"W-413013487625036","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/21/20","5:29 PM","39.71","0","0.00","3.08","0","42.79","0","-1.61","0"
"O-578913364412223","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/9/20","9:38 PM","29.72","0","4.99","2.69","6.00","43.40","-4.34","-1.62","0"
"O-089913453810546","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/18/20","8:44 PM","16.98","0","2.99","1.55","5.00","26.52","-2.50","-1.11","0"
"W-218413413316190","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/14/20","9:28 PM","35.96","0","4.99","3.18","6.62","50.75","0","-1.85","0"
"O-417213280555407","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/1/20","6:25 PM","56.82","0","4.99","4.79","13.32","79.92","-7.73","-2.74","0"
"O-144213409561332","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/13/20","6:04 PM","32.97","0","2.99","2.79","7.75","46.50","-4.50","-1.72","0"
"O-582013274809162","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/1/20","4:42 PM","33.06","0","2.99","2.79","3.50","42.34","-4.51","-1.59","0"
"O-453813512310412","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/24/20","7:00 PM","14.17","0","0.00","1.10","0","15.27","-1.77","-0.77","0"
"O-120413390077672","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/12/20","6:54 PM","23.98","0","0.00","1.86","0","25.84","-3.00","-1.09","0"
"O-810313300883211","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/3/20","6:06 PM","26.49","0","2.99","2.28","4.76","36.52","-3.69","-1.41","0"
"W-155513391172211","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/12/20","6:00 PM","63.69","0","2.99","5.17","0","71.85","0","-2.49","0"
"W-932013432612509","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/16/20","5:07 PM","28.98","0","0.00","2.25","0","31.23","0","-1.25","0"
