Type,Date,Order Number,Store,Location,Delivery Platform,Subtotal,Commission,Discounts,Adjustments,Marketplace Facilitator Tax,Total Tax Charged to Customer,Tax Passed through to Operator,Tip,Restaurant Fulfilled Delivery Fee,Other,You earned,Notes
Delivery,2022-01-28,#a2d7eb34,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$31.97,-$7.80,-$4.99,$0.00,$0.00,$2.48,$2.48,,$0.00,,$21.66,
Delivery,2022-01-28,#1374E,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$20.00,-$5.00,-$3.00,$0.00,-$1.32,$1.32,$0.00,,$0.00,,$12.00,
Delivery,2022-01-28,#952217814107467,The United Pepperonis of Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$54.96,-$18.89,-$3.00,$0.00,$0.00,$4.03,$4.03,,$0.00,,$37.10,
Delivery,2022-01-28,#e787ccea,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.49,-$1.21,-$4.99,$0.00,$0.00,$1.20,$1.20,,$0.00,,$10.49,
Delivery,2022-01-28,#f36b5e5c,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$21.48,-$3.60,-$4.99,$0.00,$0.00,$1.66,$1.66,,$0.00,,$14.55,
Delivery,2022-01-28,#802f26c2,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.45,-$6.18,$0.00,$0.00,$0.00,$1.20,$1.20,,$0.00,,$10.47,
Delivery,2022-01-28,#F0D03,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$14.49,-$5.79,$0.00,$0.00,-$1.12,$1.12,$0.00,,$0.00,,$8.70,
Delivery,2022-01-28,#b1988def,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$35.96,-$14.38,$0.00,$0.00,$0.00,$2.79,$2.79,,$0.00,,$24.37,
Delivery,2022-01-28,#b5bee7ad,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$30.44,-$6.87,-$5.00,$0.00,$0.00,$1.97,$1.97,,$0.00,,$20.54,
Delivery,2022-01-28,#0910A,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$24.94,-$9.98,$0.00,$0.00,-$1.93,$1.93,$0.00,,$0.00,,$14.96,
Delivery,2022-01-28,#e1529b0c,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$67.98,-$27.19,$0.00,$0.00,$0.00,$5.27,$5.27,,$0.00,,$46.06,
Delivery,2022-01-29,#d80d2ff0,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$62.00,-$24.80,$0.00,$0.00,$0.00,$4.81,$4.81,,$0.00,,$42.01,
Delivery,2022-01-29,#726817813349315,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$35.98,-$14.39,$0.00,$0.00,$0.00,$2.79,$2.79,,$0.00,,$24.38,
Delivery,2022-01-29,#4E5C4,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$29.97,$0.00,-$11.99,$0.00,-$1.39,$1.39,$0.00,,$0.00,,$17.98,
Delivery,2022-01-29,#24741,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$31.40,-$12.56,$0.00,$0.00,-$2.43,$2.43,$0.00,,$0.00,,$18.84,
Delivery,2022-01-29,#E1AFC,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$15.45,-$6.18,$0.00,$0.00,-$1.20,$1.20,$0.00,,$0.00,,$9.27,
Delivery,2022-01-29,#35a83457,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$30.47,-$12.19,$0.00,$0.00,$0.00,$2.36,$2.36,,$0.00,,$20.64,
Delivery,2022-01-29,#B310F,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$39.99,-$13.00,-$3.00,$0.00,-$2.87,$2.87,$0.00,,$0.00,,$23.99,
Delivery,2022-01-29,#6bfe8ab4,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$45.96,-$11.19,-$6.89,$0.00,$0.00,$3.03,$3.03,,$0.00,,$30.91,
Delivery,2022-01-29,#033eb98c,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$9.99,-$4.00,$0.00,$0.00,$0.00,$0.77,$0.77,,$0.00,,$6.76,
Delivery,2022-01-29,#6DF3F,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$24.99,-$10.00,$0.00,$0.00,-$1.94,$1.94,$0.00,,$0.00,,$14.99,
Delivery,2022-01-29,#FBD5B,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$17.98,-$4.19,-$3.00,$0.00,-$1.16,$1.16,$0.00,,$0.00,,$10.79,
Delivery,2022-01-29,#D7A7A,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$15.45,-$6.18,$0.00,$0.00,-$1.20,$1.20,$0.00,,$0.00,,$9.27,
Delivery,2022-01-29,#14BBF,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$27.49,-$11.00,$0.00,$0.00,-$2.13,$2.13,$0.00,,$0.00,,$16.49,
