"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax"
"O-251215455697777","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/6/21","6:42 PM","25.17","0","1.99","2.10","4.39","33.65","-6.79","0","-1.33","0"
"O-373615473042708","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/8/21","7:01 PM","25.98","0","0.00","2.01","2.80","30.79","-6.50","0","-1.24","0"
"O-710215683156698","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/29/21","6:35 PM","28.14","0","1.99","2.33","5.00","37.46","-7.53","0","-1.44","0"
"O-345615464465782","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/7/21","8:09 PM","21.57","0","1.99","1.82","6.98","32.36","-5.89","0","-1.29","0"
"O-994115459308733","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/6/21","9:29 PM","22.95","0","4.99","2.17","4.52","34.63","-6.99","0","-1.36","0"
"O-291415531391610","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/14/21","7:45 PM","26.15","0","4.99","2.42","5.03","38.59","-7.79","0","-1.48","0"
"T-AwEAAAAAAA9Oovi3ysDYKxHrlodn4yDFfkM","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","486615586486813, RL","6/28/21","9:14 AM","0","0","0.00","0.00","0","8.99","0","0","0","0"
"O-654615629654574","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/23/21","6:19 PM","54.70","0","0.00","4.24","8.84","67.78","-13.68","0","-2.37","0"
"O-360615484453999","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/9/21","7:29 PM","20.98","0","8.99","2.33","4.00","36.30","-7.49","0","-1.41","0"
"O-992315411466794","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/2/21","6:40 PM","18.99","0","0.00","1.47","3.06","23.52","-4.75","0","-1.02","0"
"O-854415436457034","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/4/21","8:59 PM","79.53","0","1.99","6.31","13.17","101.00","-20.38","0","-3.38","0"
"O-699815491908862","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/11/21","12:12 PM","18.99","0","0.00","1.47","0","20.46","-4.75","0","-0.92","0"
"O-711515578273774","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/19/21","2:59 PM","27.95","0","6.99","2.71","0","37.65","-8.74","0","-1.45","0"
"O-873515644016261","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/25/21","8:51 PM","100.63","0","4.99","8.19","16.26","130.07","-26.41","0","-4.27","0"
"O-922915678907942","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/28/21","7:45 PM","29.98","0","6.99","2.86","3.98","43.81","-9.24","0","-1.64","0"
"O-798415525354007","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/13/21","9:12 PM","22.98","0","4.99","2.17","2.48","32.62","-6.99","0","-1.29","0"
"O-786215583117552","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/19/21","5:56 PM","39.71","0","0.00","3.08","5.00","47.79","-9.93","0","-1.76","0"
"O-903915561373982","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/18/21","5:07 PM","39.72","0","0.00","3.08","0","42.80","-9.93","0","-1.61","0"
"O-248015417760449","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/2/21","7:41 PM","23.97","0","0.00","1.86","0","25.83","-5.99","0","-1.09","0"
"O-803415446420479","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/5/21","7:18 PM","56.96","0","8.99","5.11","10.66","81.72","-16.49","0","-2.79","0"
"O-360615484459357","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/9/21","8:06 PM","26.98","0","4.99","2.48","5.16","39.61","-7.99","0","-1.51","0"
"O-401615564465967","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/18/21","4:03 PM","16.98","0","0.00","1.32","0","18.30","-4.25","0","-0.86","0"
"O-854415426462979","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/3/21","8:12 PM","27.97","0","4.99","2.56","10.00","45.52","-8.24","0","-1.69","0"
"O-023815430884541","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/4/21","8:58 PM","43.55","0","6.99","3.92","9.39","63.85","-12.64","0","-2.25","0"
"O-719115682399226","Aroma Pizza & Pasta - Alton Pkwy","Adjustment of O-719115682399226","Change of Plans","6/30/21","3:08 PM","-27.98","0","-1.99","-2.32","-4.84","-37.13","7.49","0","1.43","0"
"O-378015599507190","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/21/21","10:46 AM","14.98","0","0.00","1.16","0","16.14","-3.75","0","-0.79","0"
"O-165215536618491","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/15/21","5:15 PM","92.92","0","2.99","7.43","15.50","118.84","-23.98","0","-3.92","0"
"O-366515493149366","Aroma Pizza & Pasta - Alton Pkwy","Adjustment of O-366515493149366","Order Not Received","6/10/21","8:13 PM","-15.98","0","-8.99","-1.94","-4.00","-30.91","6.24","0","1.24","0"
