"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax"
"O-436414868358674","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/8/21","6:58 PM","25.17","0","4.99","2.34","6.50","39.00","-7.54","0","-1.49","0"
"O-397415084540615","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/30/21","8:56 PM","21.99","0","1.99","1.85","3.55","29.38","-6.00","0","-1.20","0"
"O-886414865060514","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/9/21","4:51 PM","27.97","0","0.00","2.17","4.51","34.65","-6.99","0","-1.36","0"
"O-633114957374273","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/17/21","7:56 PM","39.44","0","1.99","3.21","8.50","53.14","-10.36","0","-1.92","0"
"O-808714930440147","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/15/21","7:39 PM","24.97","0","2.99","2.17","4.51","34.64","-6.99","0","-1.36","0"
"O-628715018440832","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/24/21","3:21 PM","16.99","0","6.99","1.86","3.87","29.71","-6.00","0","-1.21","0"
"O-124215059969964","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/27/21","7:21 PM","19.28","0","1.99","1.64","2.08","24.99","-5.32","0","-1.06","0"
"O-456914861738377","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/8/21","8:11 PM","35.96","0","6.99","3.33","5.00","51.28","-10.74","0","-1.86","0"
"O-165014964379799","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/18/21","9:27 PM","33.98","0","6.99","3.17","6.62","50.76","-10.24","0","-1.85","0"
"O-124215029934980","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/25/21","3:22 PM","19.47","0","0.00","1.51","0","20.98","-4.87","0","-0.94","0"
"O-628715008451693","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/22/21","7:57 PM","39.95","0","2.99","3.33","6.94","53.21","-10.74","0","-1.92","0"
"O-438915073517341","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/30/21","1:22 PM","10.99","0","0.00","0.85","1.18","13.02","-2.75","0","-0.70","0"
